stk_code:SLCRW               ,exchange_type:P ,money_type:  ,hs_price: 0.38               ,em_price: 0.3787             
stk_code:SISI                ,exchange_type:P ,money_type:  ,hs_price: 0.83               ,em_price: 0.8259             
stk_code:SHIP                ,exchange_type:P ,money_type:  ,hs_price: 0.47               ,em_price: 0.4680             
stk_code:SHIIY               ,exchange_type:P ,money_type:  ,hs_price: 14.16              ,em_price: 15.3400            
stk_code:SFET                ,exchange_type:P ,money_type:  ,hs_price: 0.48               ,em_price: 0.4770             
stk_code:SEDRF               ,exchange_type:P ,money_type:  ,hs_price: 23.1               ,em_price: 28.2000            
stk_code:SECO                ,exchange_type:P ,money_type:  ,hs_price: 0.32               ,em_price: 0.3172             
stk_code:SDC                 ,exchange_type:P ,money_type:  ,hs_price: 0.97               ,em_price: 0.9723             
stk_code:SCPS                ,exchange_type:P ,money_type:  ,hs_price: 0.23               ,em_price: 0.2263             
stk_code:S086305             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:S085532             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:S081074             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:RWLK                ,exchange_type:P ,money_type:  ,hs_price: 0.85               ,em_price: 0.8503             
stk_code:RUBY                ,exchange_type:P ,money_type:  ,hs_price: 0.45               ,em_price: 0.4480             
stk_code:RTNB                ,exchange_type:P ,money_type:  ,hs_price: 0.26               ,em_price: 0.0000             
stk_code:RSLS                ,exchange_type:P ,money_type:  ,hs_price: 0.31               ,em_price: 0.3112             
stk_code:RNWK                ,exchange_type:P ,money_type:  ,hs_price: 0.69               ,em_price: 0.6924             
stk_code:RMED                ,exchange_type:P ,money_type:  ,hs_price: 0.14               ,em_price: 0.1350             
stk_code:RKDA                ,exchange_type:P ,money_type:  ,hs_price: 0.56               ,em_price: 0.5623             
stk_code:RGS                 ,exchange_type:P ,money_type:  ,hs_price: 0.96               ,em_price: 0.9649             
stk_code:REVB                ,exchange_type:P ,money_type:  ,hs_price: 0.27               ,em_price: 0.2715             
stk_code:RELI                ,exchange_type:P ,money_type:  ,hs_price: 0.8                ,em_price: 0.8001             
stk_code:REED                ,exchange_type:P ,money_type:  ,hs_price: 0.14               ,em_price: 0.1422             
stk_code:REE                 ,exchange_type:P ,money_type:  ,hs_price: 0.73               ,em_price: 0.7290             
stk_code:RCHGW               ,exchange_type:P ,money_type:  ,hs_price: 0.01               ,em_price: 0.0024             
stk_code:RAAS                ,exchange_type:P ,money_type:  ,hs_price: 0.73               ,em_price: 0.7346             
stk_code:R037483             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:QTNT                ,exchange_type:P ,money_type:  ,hs_price: 0.15               ,em_price: 0.1450             
stk_code:QLGN                ,exchange_type:P ,money_type:  ,hs_price: 0.29               ,em_price: 0.2901             
stk_code:PTIXW               ,exchange_type:P ,money_type:  ,hs_price: 0.04               ,em_price: 0.0406             
stk_code:PTE                 ,exchange_type:P ,money_type:  ,hs_price: 0.65               ,em_price: 0.6522             
stk_code:PT                  ,exchange_type:P ,money_type:  ,hs_price: 0.41               ,em_price: 0.4050             
stk_code:PSTV                ,exchange_type:P ,money_type:  ,hs_price: 0.47               ,em_price: 0.4720             
stk_code:PSHG                ,exchange_type:P ,money_type:  ,hs_price: 0.22               ,em_price: 0.2180             
stk_code:PSDN                ,exchange_type:P ,money_type:  ,hs_price: 2.05               ,em_price: 2.0518             
stk_code:PRSTW               ,exchange_type:P ,money_type:  ,hs_price: 0.1                ,em_price: 0.1015             
stk_code:PRQR                ,exchange_type:P ,money_type:  ,hs_price: 0.75               ,em_price: 0.7456             
stk_code:PRPO                ,exchange_type:P ,money_type:  ,hs_price: 0.84               ,em_price: 0.8399             
stk_code:PRNT                ,exchange_type:P ,money_type:  ,hs_price: 19.78              ,em_price: 19.7750            
stk_code:POL                 ,exchange_type:P ,money_type:  ,hs_price: 0.55               ,em_price: 0.5510             
stk_code:POAI                ,exchange_type:P ,money_type:  ,hs_price: 0.37               ,em_price: 0.3728             
stk_code:PNTPQ               ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:PME                 ,exchange_type:P ,money_type:  ,hs_price: 0.89               ,em_price: 0.8850             
stk_code:PHUNW               ,exchange_type:P ,money_type:  ,hs_price: 0.44               ,em_price: 0.4398             
stk_code:PHIO                ,exchange_type:P ,money_type:  ,hs_price: 0.62               ,em_price: 0.6151             
stk_code:PHCF                ,exchange_type:P ,money_type:  ,hs_price: 0.46               ,em_price: 0.4550             
stk_code:PGY                 ,exchange_type:P ,money_type:  ,hs_price: 1.86               ,em_price: 1.8550             
stk_code:PALL                ,exchange_type:P ,money_type:  ,hs_price: 192.51             ,em_price: 192.5142           
stk_code:PALI                ,exchange_type:P ,money_type:  ,hs_price: 0.11               ,em_price: 0.1087             
stk_code:P055962             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:P054775             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:OXBRW               ,exchange_type:P ,money_type:  ,hs_price: 0.2                ,em_price: 0.1979             
stk_code:OUST                ,exchange_type:P ,money_type:  ,hs_price: 0.97               ,em_price: 0.9656             
stk_code:OTRK                ,exchange_type:P ,money_type:  ,hs_price: 0.51               ,em_price: 0.5067             
stk_code:OTIC                ,exchange_type:P ,money_type:  ,hs_price: 0.27               ,em_price: 0.2708             
stk_code:ORTX                ,exchange_type:P ,money_type:  ,hs_price: 0.49               ,em_price: 0.4859             
stk_code:OPTT                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8103             
stk_code:OPP RT              ,exchange_type:P ,money_type:  ,hs_price: 0.01               ,em_price: 0.0018             
stk_code:OPGN                ,exchange_type:P ,money_type:  ,hs_price: 0.38               ,em_price: 0.3786             
